tag,best_duration,best_pooling,best_ap,best_pr_auc,best_roc_auc,support_pos_eval,train_count
opera,1.0,max,0.9698124725373093,0.9638132661560049,0.9965568994438069,47,1040
rock,8.0,max,0.9198144006402362,0.9192111633945702,0.9711700624458727,103,1893
guitar,4.0,max,0.9148594093683381,0.9145511975835225,0.929358613538735,215,3829
choir,0.5,max,0.8674015857005738,0.8593745084700534,0.9705882352941176,34,530
techno,8.0,max,0.863414652909591,0.8622168104233014,0.959478554172934,103,2380
classical,2.0,max,0.8588006438606904,0.8580213709201937,0.9217615717615717,165,3501
ambient,8.0,max,0.8459812316234742,0.8443503397935785,0.9622027403013282,86,1506
violin,2.0,max,0.8452483635262172,0.8406238099899264,0.9650633918926602,78,1483
choral,8.0,max,0.8310987411505649,0.8138211901974919,0.9896889499914074,23,387
harpsichord,2.0,max,0.8304562952264269,0.8272303369932186,0.9711202938475666,45,915
metal,1.0,max,0.809207444541468,0.797550896482059,0.986984126984127,25,407
beat,4.0,max,0.7955697534178272,0.793580876590051,0.9533386327503974,85,1554
strings,8.0,max,0.7947141300031562,0.7935031897383683,0.9039158185268241,155,2176
electronic,8.0,max,0.7926795275727408,0.7905648964754977,0.9417045506727281,102,2050
female,4.0,max,0.7825461318727249,0.7746691614434311,0.9550341550341551,74,1196
slow,8.0,max,0.7765660076744672,0.7755717939246634,0.8572041429184286,196,2816
loud,4.0,max,0.738762580720193,0.7343358118118755,0.9465973534971645,69,881
drums,2.0,max,0.7312204913383401,0.7290351910375589,0.9043604651162791,129,2069
cello,1.0,max,0.7178471385300028,0.7041181790189476,0.9737927478948273,23,478
piano,8.0,max,0.7148921972081864,0.7125254524020492,0.898357461024499,80,1694
synth,1.0,mean,0.7102886031028525,0.7077381818946066,0.9209006108243761,98,1369
dance,8.0,max,0.6972422315324076,0.6848127526934757,0.9754501878481668,31,521
fast,8.0,max,0.6912285745598874,0.6889877926230557,0.8629253857535405,114,1882
vocal,0.5,max,0.6750886976674028,0.6731358712789598,0.8919397116644823,109,1401
male,0.5,max,0.6637655762497463,0.6592915926001647,0.9288632540254746,73,1032
male vocal,2.0,max,0.6451069581539775,0.6394947155462071,0.931722286152666,55,803
singing,0.5,max,0.6396421530816813,0.6368276488380639,0.9003321237468479,71,982
flute,8.0,attention,0.6188674759629297,0.6131214584700885,0.8817331530313275,36,814
woman,1.0,max,0.6117719069990233,0.6006238134625022,0.9395512922149992,53,818
man,4.0,max,0.6102263515737483,0.6049618345795612,0.9224517906336088,45,595
pop,2.0,attention,0.6055927633472973,0.5982893579850399,0.9001551545799333,77,792
female vocal,1.0,max,0.5865815963580546,0.5782440186592166,0.9179006560449859,44,525
male voice,2.0,max,0.5783743143803685,0.5731576816835269,0.9155421571442243,43,527
indian,4.0,max,0.5645583261602398,0.5600620648679377,0.8877834152528936,53,1124
classic,8.0,max,0.5560891454848497,0.5470346307203496,0.9174093077684761,46,567
quiet,4.0,attention,0.5390236594221254,0.5352313564701495,0.8510055969001784,71,839
country,4.0,attention,0.5346026061183654,0.5173622859361419,0.9588829471182412,34,421
beats,4.0,max,0.5072607401285103,0.4854614259740517,0.9330777096114519,40,519
female voice,1.0,max,0.49457758589301953,0.48116040804838334,0.9330248698669751,35,409
vocals,0.5,max,0.4894650129965524,0.4854934669535942,0.8509352852329499,76,957
harp,8.0,max,0.4848941487364874,0.47364344374514145,0.9295492324239757,42,513
new age,8.0,max,0.4736692759762315,0.4568248313151614,0.9260330578512397,45,513
sitar,2.0,attention,0.47010642455874163,0.4586343202303375,0.9223122801651629,26,745
soft,8.0,max,0.4282964931695289,0.42154522101740965,0.8353430353430353,74,787
solo,4.0,max,0.38489387956363713,0.37399368729982285,0.8283341396548943,52,690
weird,1.0,max,0.36358389523230406,0.34685729258213943,0.866383103549428,42,447
no vocals,8.0,max,0.3384308341362671,0.32779974498560727,0.752163963784698,92,932
voice,0.5,max,0.28105818648867326,0.2658212536811391,0.8137787056367433,50,542
no vocal,4.0,max,0.264521643608041,0.2540064347923402,0.7148898678414097,75,805
no voice,0.5,mean,0.15547550486118902,0.13750741384187956,0.6656399726214921,42,465
