tag,tag_group,train_count,val_count,test_count,ap,pr_auc,roc_auc,best_duration,best_pooling,drop_noise_ap,drop_stretch_ap,drop_compression_ap,mean_ap_drop,co_occurrence_degree,co_occurrence_entropy,max_prevalence_shift,duration_gain_long_short,inferred_failure_reason
opera,genre,1040,136,120,0.9698124725373092,0.9638132661560048,0.9965568994438068,1.0,max,0.0916198308301997,-0.0048600365971859,0.0329862114531439,0.0399153352287192,3,0.79049045,0.04862701516516399,0.09795128527884334,cooccurrence_ambiguity;context_length_dependence
rock,genre,1893,224,254,0.9198144006402362,0.9192111633945702,0.9711700624458728,8.0,max,0.0097027386557632,0.0069528094967933,0.0455136893628234,0.0207230791717933,2,0.80628467,0.1177152406581865,0.008646787188997807,cooccurrence_ambiguity
guitar,instrument,3829,513,510,0.914859409368338,0.9145511975835224,0.929358613538735,4.0,max,0.0613648718299304,0.0114583708545852,0.0945503647900567,0.0557912024915241,0,0.90390754,0.10951424402336918,0.022310220910601863,cooccurrence_ambiguity
choir,vocal,530,89,69,0.8674015857005738,0.8593745084700534,0.9705882352941176,0.5,max,0.0078122383864922,0.005248546470122,0.0351873627295621,0.0160827158620588,3,0.6958577,0.3465719931158746,-0.0127280138042839,mixed_or_label_noise
techno,genre,2380,307,267,0.863414652909591,0.8622168104233014,0.959478554172934,8.0,max,0.0104224129939125,0.004572446571266,0.0270817874380836,0.0140255490010874,4,0.76400864,0.06549338325782306,0.04727285631728584,cooccurrence_ambiguity
classical,genre,3501,365,406,0.8588006438606904,0.8580213709201937,0.9217615717615716,2.0,max,0.0133356106246199,-0.0004223296197113,0.0304668339636901,0.0144600383228662,2,0.80903363,0.1639808337340185,0.043896439078963345,cooccurrence_ambiguity
ambient,genre,1506,206,244,0.8459812316234742,0.8443503397935785,0.9622027403013282,8.0,max,0.0892667120342194,0.0121536179448177,0.1756063848151876,0.0923422382647416,3,0.82475495,0.3496243836940196,0.19714615534344115,cooccurrence_ambiguity;robustness_fragility;context_length_dependence
violin,instrument,1483,136,207,0.8452483635262172,0.8406238099899264,0.9650633918926602,2.0,max,0.062973746964542,0.0195191766595506,0.12162223993782,0.0680383878539709,2,0.7441297,0.2646175664881648,0.061612395451875246,cooccurrence_ambiguity
choral,vocal,387,64,39,0.8310987411505649,0.8138211901974919,0.9896889499914074,8.0,max,-0.0199949246261089,0.0594434647798218,0.0590016245103652,0.0328167215546927,3,0.65946376,0.3261249265645101,0.02034587095389062,mixed_or_label_noise
harpsichord,instrument,915,77,101,0.8304562952264269,0.8272303369932186,0.9711202938475666,2.0,max,0.0793676528708288,0.0241524318401811,0.0995869390294823,0.0677023412468307,2,0.6883766,0.3251843498069077,0.06308302976793456,mixed_or_label_noise
metal,genre,407,51,47,0.809207444541468,0.797550896482059,0.986984126984127,1.0,max,0.0242017447126027,0.0422550600754206,-0.035268604039821,0.0103960669160674,3,0.60676146,0.03805214596764506,-0.005912658356294842,mixed_or_label_noise
beat,production,1554,206,146,0.7955697534178272,0.793580876590051,0.9533386327503974,4.0,max,0.009997826156504,0.0080554796353607,-0.0138198801659933,0.0014111418752904,4,0.79348505,0.21738182627026215,0.10869209652602552,cooccurrence_ambiguity;context_length_dependence
